Date,Fund,MoM Return
4/1/19,U.S. Investment Grade Credit Index Fund,0.27
4/1/19,LifeStrategy 60% Equity Fund,1.78
4/1/19,FTSE Emerging Markets UCITS ETF,2.27
4/1/19,Target Retirement 2060 Fund,2.49
4/1/19,Global Equity Fund,3.53
4/1/19,Global Short-Term Bond Index Fund,0.09
4/1/19,FTSE All-World UCITS ETF,3.37
4/1/19,FTSE Japan UCITS ETF,1.26
4/1/19,ESG Global All Cap UCITS ETF,
4/1/19,ESG North America All Cap UCITS ETF,
4/1/19,ESG Developed Europe All Cap UCITS ETF,
4/1/19,FTSE U.K. All Share Index Unit Trust,2.67
4/1/19,ESG Developed World All Cap Equity Index Fund (UK),
4/1/19,Target Retirement 2040 Fund,2.38
4/1/19,U.K. Government Bond Index Fund,-1.72
4/1/19,Emerging Markets Stock Index Fund,2.75
4/1/19,Target Retirement 2045 Fund,2.5
4/1/19,Target Retirement 2015 Fund,1.17
4/1/19,ESG USD Corporate Bond UCITS ETF,
4/1/19,Japan Government Bond Index Fund,-0.39
4/1/19,SustainableLife 80-90% Equity Fund,
4/1/19,U.K. Short-Term Investment Grade Bond Index Fund,0.31
4/1/19,FTSE 100 UCITS ETF,2.32
4/1/19,U.K. Gilt UCITS ETF,-1.73
4/1/19,Target Retirement 2035 Fund,2.19
4/1/19,Global Corporate Bond Index Fund,0.41
5/1/19,SRI European Stock Fund,-2.44
5/1/19,U.K. Government Bond Index Fund,2.91
5/1/19,SustainableLife 40-50% Equity Fund,
5/1/19,Global Equity Fund,-3.85
5/1/19,Global Sustainable Equity Fund,
5/1/19,ESG USD Corporate Bond UCITS ETF,
5/1/19,FTSE Developed World ex-U.K. Equity Index Fund,-2.58
5/1/19,FTSE U.K. All Share Index Unit Trust,-3.02
5/1/19,Global Short-Term Bond Index Fund,0.42
5/1/19,Global Corporate Bond Index Fund,0.97
5/1/19,FTSE All-World UCITS ETF,-5.87
5/1/19,Target Retirement 2055 Fund,-1.97
5/1/19,FTSE U.K. Equity Income Index Fund,-5.03
5/1/19,Target Retirement 2060 Fund,-1.97
5/1/19,SustainableLife 80-90% Equity Fund,
5/1/19,ESG Global Corporate Bond Index Fund,
5/1/19,FTSE Developed Europe ex UK UCITS ETF,-4.55
5/1/19,Global Aggregate Bond UCITS ETF,
5/1/19,Euro Investment Grade Bond Index Fund,0.14
5/1/19,FTSE Japan UCITS ETF,-4.26
5/1/19,ESG North America All Cap UCITS ETF,
5/1/19,LifeStrategy 60% Equity Fund,-1.05
5/1/19,Target Retirement 2065 Fund,-1.97
5/1/19,Target Retirement 2035 Fund,-1.6
5/1/19,USD Corporate 1-3 Year Bond UCITS ETF,0.57
5/1/19,Target Retirement 2025 Fund,-1.18
5/1/19,U.K. Investment Grade Bond Index Fund,0.4
5/1/19,LifeStrategy 80% Equity Fund,-1.94
5/1/19,Global Bond Index Fund,1.19
5/1/19,Global Equity Income Fund,-4.13
5/1/19,Active U.K. Equity Fund,
5/1/19,Pacific ex-Japan Stock Index Fund,0.44
5/1/19,U.K. Short-Term Investment Grade Bond Index Fund,0.16
5/1/19,FTSE Emerging Markets UCITS ETF,-6.23
5/1/19,ESG Developed Europe All Cap UCITS ETF,
5/1/19,Euro Government Bond Index Fund,1.06
5/1/19,FTSE Global All Cap Index Fund,-2.77
5/1/19,ESG Emerging Markets All Cap UCITS ETF,
5/1/19,Target Retirement 2015 Fund,-0.39
5/1/19,S&P 500 UCITS ETF,-6.39
5/1/19,USD Treasury Bond UCITS ETF,2.38
5/1/19,Germany All Cap UCITS ETF,-5.28
5/1/19,FTSE 100 Index Unit Trust,-2.87
5/1/19,ESG Global All Cap UCITS ETF,
5/1/19,LifeStrategy 100% Equity Fund,-2.82
5/1/19,Target Retirement 2040 Fund,-1.82
5/1/19,ESG EUR Corporate Bond UCITS ETF,
5/1/19,U.S. Investment Grade Credit Index Fund,0.99
5/1/19,ESG Emerging Markets All Cap Equity Index Fund,
5/1/19,FTSE 100 UCITS ETF,-2.88
5/1/19,SustainableLife 60-70% Equity Fund,-0.94
5/1/19,Sterling Short-Term Money Market Fund,
5/1/19,Global Short-Term Corporate Bond Index Fund,0.37
5/1/19,ESG Developed Asia Pacific All Cap UCITS ETF,
5/1/19,Target Retirement 2050 Fund,-1.97
5/1/19,USD Corporate Bond UCITS ETF,1.51
5/1/19,ESG Developed World All Cap Equity Index Fund,-2.72
5/1/19,EUR Eurozone Government Bond UCITS ETF,-0.14
5/1/19,U.S. Government Bond Index Fund,2.22
5/1/19,FTSE 250 UCITS ETF,-3.98
5/1/19,Emerging Markets Stock Index Fund,-4.12
5/1/19,FTSE North America UCITS ETF,-6.28
5/1/19,FTSE Developed Europe ex-U.K. Equity Index Fund,-1.9
5/1/19,Target Retirement 2045 Fund,-1.97
5/1/19,LifeStrategy 20% Equity Fund,0.75
5/1/19,Global Credit Bond Fund,1.09
5/1/19,USD Emerging Markets Government Bond UCITS ETF,0.7
5/1/19,U.K. Inflation-Linked Gilt Index Fund,4.15
5/1/19,ESG Global Corporate Bond UCITS ETF,
5/1/19,U.S. Equity Index Fund,-3.29
5/1/19,Japan Government Bond Index Fund,0.85
5/1/19,Emerging Markets Bond Fund,
5/1/19,FTSE Developed World UCITS ETF,-5.82
5/1/19,LifeStrategy 40% Equity Fund,-0.15
5/1/19,Target Retirement 2030 Fund,-1.4
5/1/19,Japan Stock Index Fund,-0.67
5/1/19,Global Small-Cap Index Fund,-3.39
5/1/19,Global Emerging Markets Fund,-4.06
5/1/19,EUR Corporate Bond UCITS ETF,-0.14
5/1/19,U.K. Long Duration Gilt Index Fund,4.4
5/1/19,FTSE Developed Asia Pacific ex Japan UCITS ETF,-4.59
5/1/19,ESG Developed World All Cap Equity Index Fund (UK),
5/1/19,Target Retirement 2020 Fund,-0.87
5/1/19,FTSE All-World High Dividend Yield UCITS ETF,-5.27
5/1/19,U.K. Gilt UCITS ETF,3.01
5/1/19,FTSE Developed Europe UCITS ETF,-4.88
6/1/19,Target Retirement 2065 Fund,4.31
6/1/19,Target Retirement 2025 Fund,3.55
6/1/19,U.K. Short-Term Investment Grade Bond Index Fund,0.42
6/1/19,U.K. Investment Grade Bond Index Fund,1.79
6/1/19,LifeStrategy 40% Equity Fund,2.59
6/1/19,USD Corporate 1-3 Year Bond UCITS ETF,0.66
6/1/19,Target Retirement 2045 Fund,4.31
6/1/19,U.K. Gilt UCITS ETF,0.2
6/1/19,Pacific ex-Japan Stock Index Fund,5.33
6/1/19,Active U.K. Equity Fund,
6/1/19,LifeStrategy 80% Equity Fund,4.26
6/1/19,U.S. Equity Index Fund,5.96
6/1/19,ESG Developed Asia Pacific All Cap UCITS ETF,
6/1/19,Target Retirement 2035 Fund,3.95
6/1/19,Target Retirement 2015 Fund,2.62
6/1/19,U.S. Government Bond Index Fund,0.63
6/1/19,USD Emerging Markets Government Bond UCITS ETF,2.93
6/1/19,SustainableLife 40-50% Equity Fund,
6/1/19,Emerging Markets Bond Fund,
6/1/19,Japan Stock Index Fund,2.74
6/1/19,Target Retirement 2030 Fund,3.75
6/1/19,SRI European Stock Fund,5.78
6/1/19,U.K. Long Duration Gilt Index Fund,0.13
6/1/19,Target Retirement 2020 Fund,3.18
6/1/19,SustainableLife 80-90% Equity Fund,
6/1/19,U.K. Inflation-Linked Gilt Index Fund,-0.89
6/1/19,Global Sustainable Equity Fund,
6/1/19,Japan Government Bond Index Fund,0.83
6/1/19,Sterling Short-Term Money Market Fund,
6/1/19,Target Retirement 2050 Fund,4.31
6/1/19,U.K. Government Bond Index Fund,0.2
6/1/19,Target Retirement 2040 Fund,4.15
6/1/19,LifeStrategy 60% Equity Fund,3.41
6/1/19,Target Retirement 2060 Fund,4.31
6/1/19,U.S. Investment Grade Credit Index Fund,1.78
6/1/19,LifeStrategy 100% Equity Fund,5.13
6/1/19,USD Corporate Bond UCITS ETF,2.15
6/1/19,Emerging Markets Stock Index Fund,5.21
6/1/19,S&P 500 UCITS ETF,7.02
6/1/19,LifeStrategy 20% Equity Fund,1.82
6/1/19,SustainableLife 60-70% Equity Fund,3.79
6/1/19,Target Retirement 2055 Fund,4.31
6/1/19,FTSE All-World UCITS ETF,6.48
6/1/19,Global Emerging Markets Fund,5.14
6/1/19,EUR Eurozone Government Bond UCITS ETF,1.61
6/1/19,ESG Global Corporate Bond UCITS ETF,
6/1/19,FTSE 250 UCITS ETF,2.84
6/1/19,ESG Developed World All Cap Equity Index Fund,5.62
6/1/19,ESG Developed Europe All Cap UCITS ETF,
6/1/19,FTSE Global All Cap Index Fund,5.42
6/1/19,FTSE Developed Asia Pacific ex Japan UCITS ETF,6.93
6/1/19,FTSE Developed Europe UCITS ETF,4.48
6/1/19,Global Aggregate Bond UCITS ETF,
6/1/19,Euro Government Bond Index Fund,2.23
6/1/19,Global Equity Income Fund,5.9
6/1/19,FTSE Emerging Markets UCITS ETF,5.5
6/1/19,FTSE 100 UCITS ETF,3.96
6/1/19,ESG EUR Corporate Bond UCITS ETF,
6/1/19,ESG Global Corporate Bond Index Fund,
6/1/19,Germany All Cap UCITS ETF,5.72
6/1/19,ESG Developed World All Cap Equity Index Fund (UK),
6/1/19,Euro Investment Grade Bond Index Fund,1.49
6/1/19,Global Equity Fund,6.2
6/1/19,ESG Global All Cap UCITS ETF,
6/1/19,FTSE Developed World ex-U.K. Equity Index Fund,5.66
6/1/19,FTSE 100 Index Unit Trust,3.45
6/1/19,FTSE U.K. Equity Income Index Fund,4.49
6/1/19,FTSE Developed World UCITS ETF,6.59
6/1/19,FTSE U.K. All Share Index Unit Trust,3.67
6/1/19,FTSE North America UCITS ETF,6.92
6/1/19,FTSE Developed Europe ex-U.K. Equity Index Fund,6.4
6/1/19,ESG North America All Cap UCITS ETF,
6/1/19,ESG Emerging Markets All Cap Equity Index Fund,
6/1/19,Global Small-Cap Index Fund,4.78
6/1/19,Global Credit Bond Fund,1.79
6/1/19,Global Short-Term Bond Index Fund,0.5
6/1/19,ESG Emerging Markets All Cap UCITS ETF,
6/1/19,Global Short-Term Corporate Bond Index Fund,0.77
6/1/19,FTSE Developed Europe ex UK UCITS ETF,5.14
6/1/19,Global Bond Index Fund,1.27
6/1/19,Global Corporate Bond Index Fund,1.82
6/1/19,EUR Corporate Bond UCITS ETF,1.61
6/1/19,FTSE Japan UCITS ETF,3.58
6/1/19,FTSE All-World High Dividend Yield UCITS ETF,5.86
6/1/19,ESG USD Corporate Bond UCITS ETF,
6/1/19,USD Treasury Bond UCITS ETF,0.81
7/1/19,Germany All Cap UCITS ETF,-1.7
7/1/19,LifeStrategy 40% Equity Fund,2.27
7/1/19,U.K. Government Bond Index Fund,2.23
7/1/19,LifeStrategy 20% Equity Fund,1.77
7/1/19,LifeStrategy 80% Equity Fund,3.24
7/1/19,EUR Corporate Bond UCITS ETF,1.4
7/1/19,Euro Investment Grade Bond Index Fund,1.28
7/1/19,ESG Developed World All Cap Equity Index Fund (UK),
7/1/19,Target Retirement 2025 Fund,2.71
7/1/19,FTSE Developed World ex-U.K. Equity Index Fund,4.44
7/1/19,ESG USD Corporate Bond UCITS ETF,
7/1/19,U.K. Long Duration Gilt Index Fund,3.23
7/1/19,FTSE Developed World UCITS ETF,0.35
7/1/19,Global Corporate Bond Index Fund,0.81
7/1/19,ESG Developed World All Cap Equity Index Fund,4.39
7/1/19,Target Retirement 2045 Fund,3.21
7/1/19,U.K. Gilt UCITS ETF,2.23
7/1/19,FTSE Developed Europe ex UK UCITS ETF,0.22
7/1/19,Global Small-Cap Index Fund,4.51
7/1/19,Global Credit Bond Fund,0.89
7/1/19,FTSE Emerging Markets UCITS ETF,-0.53
7/1/19,Target Retirement 2050 Fund,3.21
7/1/19,LifeStrategy 60% Equity Fund,2.75
7/1/19,EUR Eurozone Government Bond UCITS ETF,1.4
7/1/19,Sterling Short-Term Money Market Fund,
7/1/19,U.K. Inflation-Linked Gilt Index Fund,3.87
7/1/19,ESG Global Corporate Bond UCITS ETF,
7/1/19,Global Bond Index Fund,0.72
7/1/19,Target Retirement 2035 Fund,2.98
7/1/19,Global Emerging Markets Fund,2.81
7/1/19,Target Retirement 2030 Fund,2.84
7/1/19,ESG North America All Cap UCITS ETF,
7/1/19,Target Retirement 2055 Fund,3.21
7/1/19,Global Aggregate Bond UCITS ETF,0.71
7/1/19,ESG Developed Asia Pacific All Cap UCITS ETF,
7/1/19,Euro Government Bond Index Fund,1.7
7/1/19,SRI European Stock Fund,1.95
7/1/19,U.K. Investment Grade Bond Index Fund,1.45
7/1/19,ESG Global Corporate Bond Index Fund,
7/1/19,ESG Developed Europe All Cap UCITS ETF,
7/1/19,Japan Government Bond Index Fund,0.27
7/1/19,USD Corporate Bond UCITS ETF,0.62
7/1/19,FTSE Developed Europe UCITS ETF,0.33
7/1/19,FTSE Developed Asia Pacific ex Japan UCITS ETF,-2.11
7/1/19,FTSE Global All Cap Index Fund,4.23
7/1/19,FTSE 250 UCITS ETF,1.28
7/1/19,FTSE Developed Europe ex-U.K. Equity Index Fund,1.85
7/1/19,Active U.K. Equity Fund,
7/1/19,SustainableLife 60-70% Equity Fund,3.66
7/1/19,Pacific ex-Japan Stock Index Fund,3.2
7/1/19,Global Sustainable Equity Fund,
7/1/19,ESG Emerging Markets All Cap UCITS ETF,
7/1/19,FTSE North America UCITS ETF,1.41
7/1/19,USD Treasury Bond UCITS ETF,-0.03
7/1/19,FTSE All-World High Dividend Yield UCITS ETF,-0.84
7/1/19,U.S. Government Bond Index Fund,-0.2
7/1/19,Global Short-Term Bond Index Fund,0.12
7/1/19,Emerging Markets Bond Fund,
7/1/19,SustainableLife 40-50% Equity Fund,
7/1/19,Japan Stock Index Fund,4.06
7/1/19,FTSE Japan UCITS ETF,0.1
7/1/19,LifeStrategy 100% Equity Fund,3.73
7/1/19,ESG Emerging Markets All Cap Equity Index Fund,
7/1/19,FTSE All-World UCITS ETF,0.26
7/1/19,U.S. Investment Grade Credit Index Fund,0.43
7/1/19,Global Short-Term Corporate Bond Index Fund,0.22
7/1/19,Emerging Markets Stock Index Fund,2.69
7/1/19,Target Retirement 2065 Fund,3.22
7/1/19,U.S. Equity Index Fund,5.44
7/1/19,USD Emerging Markets Government Bond UCITS ETF,1.1
7/1/19,Target Retirement 2040 Fund,3.11
7/1/19,Target Retirement 2060 Fund,3.21
7/1/19,U.K. Short-Term Investment Grade Bond Index Fund,0.81
7/1/19,FTSE 100 Index Unit Trust,2.23
7/1/19,SustainableLife 80-90% Equity Fund,
7/1/19,ESG Global All Cap UCITS ETF,
7/1/19,ESG EUR Corporate Bond UCITS ETF,
7/1/19,FTSE U.K. Equity Income Index Fund,1.06
7/1/19,Global Equity Income Fund,3.89
7/1/19,FTSE U.K. All Share Index Unit Trust,2.01
7/1/19,Target Retirement 2015 Fund,1.96
7/1/19,Target Retirement 2020 Fund,2.41
7/1/19,FTSE 100 UCITS ETF,2.23
7/1/19,Global Equity Fund,4.9
7/1/19,USD Corporate 1-3 Year Bond UCITS ETF,0.12
7/1/19,S&P 500 UCITS ETF,1.41
8/1/19,Emerging Markets Bond Fund,
8/1/19,ESG North America All Cap UCITS ETF,
8/1/19,Japan Stock Index Fund,-0.49
8/1/19,ESG Emerging Markets All Cap Equity Index Fund,
8/1/19,FTSE Developed World UCITS ETF,-2.11
8/1/19,Global Small-Cap Index Fund,-2.92
8/1/19,U.K. Gilt UCITS ETF,4.13
8/1/19,Target Retirement 2045 Fund,-1.32
8/1/19,ESG Global All Cap UCITS ETF,
8/1/19,Japan Government Bond Index Fund,1.68
8/1/19,Global Short-Term Corporate Bond Index Fund,0.67
8/1/19,USD Corporate Bond UCITS ETF,3.04
8/1/19,ESG Developed World All Cap Equity Index Fund (UK),
8/1/19,Global Short-Term Bond Index Fund,0.67
8/1/19,Global Equity Income Fund,-2.84
8/1/19,Target Retirement 2060 Fund,-1.32
8/1/19,SRI European Stock Fund,-1.83
8/1/19,Target Retirement 2055 Fund,-1.31
8/1/19,Target Retirement 2065 Fund,-1.31
8/1/19,Global Emerging Markets Fund,-4.38
8/1/19,ESG Global Corporate Bond Index Fund,
8/1/19,FTSE Developed Europe UCITS ETF,-1.5
8/1/19,LifeStrategy 40% Equity Fund,0.75
8/1/19,ESG Global Corporate Bond UCITS ETF,
8/1/19,Global Equity Fund,-2.42
8/1/19,USD Emerging Markets Government Bond UCITS ETF,0.16
8/1/19,Active U.K. Equity Fund,
8/1/19,Pacific ex-Japan Stock Index Fund,-5.29
8/1/19,Sterling Short-Term Money Market Fund,0.03
8/1/19,Target Retirement 2050 Fund,-1.32
8/1/19,LifeStrategy 20% Equity Fund,1.75
8/1/19,S&P 500 UCITS ETF,-1.63
8/1/19,ESG Emerging Markets All Cap UCITS ETF,
8/1/19,Global Credit Bond Fund,2.15
8/1/19,ESG EUR Corporate Bond UCITS ETF,
8/1/19,FTSE Developed Europe ex-U.K. Equity Index Fund,-1.29
8/1/19,ESG Developed Asia Pacific All Cap UCITS ETF,
8/1/19,FTSE 100 Index Unit Trust,-3.63
8/1/19,FTSE All-World High Dividend Yield UCITS ETF,-3.04
8/1/19,FTSE North America UCITS ETF,-1.73
8/1/19,Global Aggregate Bond UCITS ETF,2.35
8/1/19,Global Sustainable Equity Fund,
8/1/19,Euro Government Bond Index Fund,2.42
8/1/19,SustainableLife 60-70% Equity Fund,0.54
8/1/19,U.K. Investment Grade Bond Index Fund,1.43
8/1/19,Target Retirement 2025 Fund,-0.39
8/1/19,Germany All Cap UCITS ETF,-2.06
8/1/19,LifeStrategy 80% Equity Fund,-1.27
8/1/19,FTSE Developed World ex-U.K. Equity Index Fund,-1.42
8/1/19,Euro Investment Grade Bond Index Fund,1.15
8/1/19,FTSE 250 UCITS ETF,-1.1
8/1/19,U.K. Long Duration Gilt Index Fund,6.62
8/1/19,ESG Developed World All Cap Equity Index Fund,-1.52
8/1/19,FTSE Global All Cap Index Fund,-1.94
8/1/19,Target Retirement 2020 Fund,-0.16
8/1/19,FTSE Developed Asia Pacific ex Japan UCITS ETF,-5.58
8/1/19,FTSE U.K. Equity Income Index Fund,-3.49
8/1/19,Target Retirement 2040 Fund,-1.12
8/1/19,U.K. Short-Term Investment Grade Bond Index Fund,0.29
8/1/19,U.S. Equity Index Fund,-1.53
8/1/19,USD Treasury Bond UCITS ETF,3.39
8/1/19,Target Retirement 2015 Fund,0.27
8/1/19,USD Corporate 1-3 Year Bond UCITS ETF,0.75
8/1/19,FTSE 100 UCITS ETF,-4.09
8/1/19,FTSE U.K. All Share Index Unit Trust,-3.59
8/1/19,Target Retirement 2030 Fund,-0.64
8/1/19,U.S. Government Bond Index Fund,3.21
8/1/19,SustainableLife 80-90% Equity Fund,
8/1/19,LifeStrategy 100% Equity Fund,-2.23
8/1/19,Global Bond Index Fund,2.26
8/1/19,U.K. Government Bond Index Fund,4.1
8/1/19,FTSE Emerging Markets UCITS ETF,-4.49
8/1/19,FTSE Developed Europe ex UK UCITS ETF,-0.75
8/1/19,U.S. Investment Grade Credit Index Fund,2.81
8/1/19,FTSE All-World UCITS ETF,-2.37
8/1/19,FTSE Japan UCITS ETF,-1.11
8/1/19,Emerging Markets Stock Index Fund,-4.38
8/1/19,LifeStrategy 60% Equity Fund,-0.27
8/1/19,Target Retirement 2035 Fund,-0.87
8/1/19,ESG USD Corporate Bond UCITS ETF,
8/1/19,EUR Eurozone Government Bond UCITS ETF,0.63
8/1/19,Global Corporate Bond Index Fund,2.23
8/1/19,U.K. Inflation-Linked Gilt Index Fund,4.45
8/1/19,ESG Developed Europe All Cap UCITS ETF,
8/1/19,SustainableLife 40-50% Equity Fund,
8/1/19,EUR Corporate Bond UCITS ETF,0.63
9/1/19,FTSE Developed Asia Pacific ex Japan UCITS ETF,2.94
9/1/19,FTSE All-World High Dividend Yield UCITS ETF,3.54
9/1/19,Target Retirement 2065 Fund,1.01
9/1/19,Global Equity Income Fund,1.66
9/1/19,U.S. Investment Grade Credit Index Fund,-0.78
9/1/19,Global Short-Term Corporate Bond Index Fund,-0.2
9/1/19,FTSE 100 UCITS ETF,2.96
9/1/19,FTSE All-World UCITS ETF,2.19
9/1/19,U.S. Equity Index Fund,0.5
9/1/19,ESG Emerging Markets All Cap Equity Index Fund,
9/1/19,FTSE Developed Europe UCITS ETF,3.76
9/1/19,Global Short-Term Bond Index Fund,-0.22
9/1/19,SustainableLife 40-50% Equity Fund,
9/1/19,FTSE North America UCITS ETF,1.87
9/1/19,FTSE U.K. All Share Index Unit Trust,2.97
9/1/19,Emerging Markets Bond Fund,
9/1/19,Pacific ex-Japan Stock Index Fund,0.15
9/1/19,LifeStrategy 100% Equity Fund,1.37
9/1/19,Japan Stock Index Fund,2.8
9/1/19,Active U.K. Equity Fund,
9/1/19,SustainableLife 60-70% Equity Fund,0.81
9/1/19,FTSE Japan UCITS ETF,4.05
9/1/19,FTSE Global All Cap Index Fund,0.9
9/1/19,FTSE 250 UCITS ETF,3.09
9/1/19,U.S. Government Bond Index Fund,-1
9/1/19,USD Emerging Markets Government Bond UCITS ETF,-0.06
9/1/19,ESG Emerging Markets All Cap UCITS ETF,
9/1/19,Target Retirement 2040 Fund,0.94
9/1/19,SustainableLife 80-90% Equity Fund,
9/1/19,Global Emerging Markets Fund,1.38
9/1/19,Target Retirement 2030 Fund,0.77
9/1/19,EUR Eurozone Government Bond UCITS ETF,-0.81
9/1/19,LifeStrategy 60% Equity Fund,0.64
9/1/19,U.K. Inflation-Linked Gilt Index Fund,-0.34
9/1/19,ESG Global Corporate Bond UCITS ETF,
9/1/19,Sterling Short-Term Money Market Fund,0.05
9/1/19,Target Retirement 2050 Fund,1.01
9/1/19,FTSE Emerging Markets UCITS ETF,1.16
9/1/19,Global Aggregate Bond UCITS ETF,-0.7
9/1/19,Global Credit Bond Fund,-0.48
9/1/19,Global Bond Index Fund,-0.66
9/1/19,ESG North America All Cap UCITS ETF,
9/1/19,Target Retirement 2035 Fund,0.86
9/1/19,FTSE Developed Europe ex UK UCITS ETF,3.2
9/1/19,U.K. Government Bond Index Fund,0.55
9/1/19,U.K. Gilt UCITS ETF,0.56
9/1/19,Target Retirement 2045 Fund,1.01
9/1/19,ESG USD Corporate Bond UCITS ETF,
9/1/19,Global Corporate Bond Index Fund,-0.7
9/1/19,EUR Corporate Bond UCITS ETF,-0.81
9/1/19,Target Retirement 2055 Fund,1.01
9/1/19,LifeStrategy 40% Equity Fund,0.28
9/1/19,SRI European Stock Fund,1.75
9/1/19,USD Treasury Bond UCITS ETF,-0.88
9/1/19,S&P 500 UCITS ETF,1.84
9/1/19,FTSE Developed Europe ex-U.K. Equity Index Fund,0.97
9/1/19,Target Retirement 2060 Fund,1.01
9/1/19,Target Retirement 2015 Fund,0.22
9/1/19,Global Equity Fund,0.65
9/1/19,USD Corporate 1-3 Year Bond UCITS ETF,0.07
9/1/19,U.K. Short-Term Investment Grade Bond Index Fund,-0.07
9/1/19,FTSE 100 Index Unit Trust,2.96
9/1/19,ESG Global All Cap UCITS ETF,
9/1/19,FTSE U.K. Equity Income Index Fund,3.51
9/1/19,Target Retirement 2020 Fund,0.5
9/1/19,U.K. Long Duration Gilt Index Fund,0.97
9/1/19,Euro Investment Grade Bond Index Fund,-0.64
9/1/19,FTSE Developed World UCITS ETF,2.3
9/1/19,LifeStrategy 80% Equity Fund,1
9/1/19,Germany All Cap UCITS ETF,4.09
9/1/19,Target Retirement 2025 Fund,0.69
9/1/19,U.K. Investment Grade Bond Index Fund,0.05
9/1/19,ESG Global Corporate Bond Index Fund,
9/1/19,Euro Government Bond Index Fund,-0.38
9/1/19,ESG EUR Corporate Bond UCITS ETF,
9/1/19,Emerging Markets Stock Index Fund,0.66
9/1/19,USD Corporate Bond UCITS ETF,-0.63
9/1/19,Global Sustainable Equity Fund,
9/1/19,ESG Developed World All Cap Equity Index Fund (UK),
9/1/19,Global Small-Cap Index Fund,0.89
9/1/19,ESG Developed Asia Pacific All Cap UCITS ETF,
9/1/19,FTSE Developed World ex-U.K. Equity Index Fund,0.99
9/1/19,ESG Developed World All Cap Equity Index Fund,1.07
9/1/19,Japan Government Bond Index Fund,-1.24
9/1/19,LifeStrategy 20% Equity Fund,-0.04
9/1/19,ESG Developed Europe All Cap UCITS ETF,
10/1/19,U.K. Long Duration Gilt Index Fund,-2.95
10/1/19,USD Corporate Bond UCITS ETF,0.51
10/1/19,FTSE 100 UCITS ETF,-1.88
10/1/19,Global Sustainable Equity Fund,
10/1/19,ESG North America All Cap UCITS ETF,
10/1/19,FTSE All-World High Dividend Yield UCITS ETF,2.66
10/1/19,FTSE Developed Asia Pacific ex Japan UCITS ETF,3.31
10/1/19,FTSE Developed World ex-U.K. Equity Index Fund,-2.29
10/1/19,Global Credit Bond Fund,0.17
10/1/19,Pacific ex-Japan Stock Index Fund,-1.93
10/1/19,FTSE Developed Europe ex-U.K. Equity Index Fund,-1.55
10/1/19,Japan Stock Index Fund,-0.13
10/1/19,Euro Investment Grade Bond Index Fund,-0.39
10/1/19,ESG Emerging Markets All Cap UCITS ETF,
10/1/19,ESG Developed World All Cap Equity Index Fund,-2.17
10/1/19,EUR Corporate Bond UCITS ETF,-0.19
10/1/19,Target Retirement 2035 Fund,-1.58
10/1/19,U.S. Equity Index Fund,-2.76
10/1/19,S&P 500 UCITS ETF,2.14
10/1/19,LifeStrategy 80% Equity Fund,-1.75
10/1/19,FTSE U.K. All Share Index Unit Trust,-1.43
10/1/19,SustainableLife 60-70% Equity Fund,-2.02
10/1/19,Target Retirement 2025 Fund,-1.44
10/1/19,ESG Emerging Markets All Cap Equity Index Fund,
10/1/19,FTSE Developed Europe UCITS ETF,0.97
10/1/19,Target Retirement 2045 Fund,-1.7
10/1/19,Global Bond Index Fund,-0.29
10/1/19,ESG Developed Asia Pacific All Cap UCITS ETF,
10/1/19,FTSE North America UCITS ETF,2.04
10/1/19,Germany All Cap UCITS ETF,3.52
10/1/19,LifeStrategy 20% Equity Fund,-1.22
10/1/19,Target Retirement 2030 Fund,-1.51
10/1/19,LifeStrategy 100% Equity Fund,-1.93
10/1/19,Active U.K. Equity Fund,
10/1/19,Global Equity Income Fund,-2.62
10/1/19,FTSE Global All Cap Index Fund,-2.14
10/1/19,USD Emerging Markets Government Bond UCITS ETF,0.33
10/1/19,FTSE 250 UCITS ETF,0.62
10/1/19,U.K. Gilt UCITS ETF,-2.05
10/1/19,ESG EUR Corporate Bond UCITS ETF,
10/1/19,Global Small-Cap Index Fund,-2.22
10/1/19,FTSE All-World UCITS ETF,2.8
10/1/19,Global Short-Term Corporate Bond Index Fund,0.22
10/1/19,Target Retirement 2065 Fund,-1.69
10/1/19,Global Short-Term Bond Index Fund,0.03
10/1/19,LifeStrategy 60% Equity Fund,-1.57
10/1/19,U.K. Investment Grade Bond Index Fund,-0.37
10/1/19,SRI European Stock Fund,-1.22
10/1/19,Emerging Markets Stock Index Fund,-0.77
10/1/19,SustainableLife 80-90% Equity Fund,
10/1/19,Sterling Short-Term Money Market Fund,0.05
10/1/19,ESG Global Corporate Bond UCITS ETF,
10/1/19,LifeStrategy 40% Equity Fund,-1.4
10/1/19,Euro Government Bond Index Fund,-0.94
10/1/19,Emerging Markets Bond Fund,
10/1/19,FTSE Developed World UCITS ETF,2.63
10/1/19,U.K. Inflation-Linked Gilt Index Fund,-5.47
10/1/19,Target Retirement 2015 Fund,-1.13
10/1/19,Global Aggregate Bond UCITS ETF,-0.27
10/1/19,FTSE U.K. Equity Income Index Fund,-0.15
10/1/19,FTSE 100 Index Unit Trust,-1.88
10/1/19,Global Emerging Markets Fund,-0.57
10/1/19,EUR Eurozone Government Bond UCITS ETF,-0.19
10/1/19,SustainableLife 40-50% Equity Fund,
10/1/19,Target Retirement 2055 Fund,-1.7
10/1/19,FTSE Developed Europe ex UK UCITS ETF,1.03
